date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:16:54	5441/5441	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/js/imagesloaded.pkgd.min.js	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/js/imagesloaded.pkgd.min.js	(from https://boorniimichelefry.com/)
10:16:54	34694/34694	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/js/jquery.isotope.v3.0.2.js	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/js/jquery.isotope.v3.0.2.js	(from https://boorniimichelefry.com/)
10:16:55	19188/19188	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/js/popper.min.js	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/js/popper.min.js	(from https://boorniimichelefry.com/)
10:16:55	79741/79741	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/js/bootstrap.min.js	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/js/bootstrap.min.js	(from https://boorniimichelefry.com/)
10:16:56	1418/1418	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/js/scrollIt.min.js	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/js/scrollIt.min.js	(from https://boorniimichelefry.com/)
10:16:56	8835/8835	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/js/jquery.waypoints.min.js	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/js/jquery.waypoints.min.js	(from https://boorniimichelefry.com/)
10:16:57	44342/44342	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/js/owl.carousel.min.js	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/js/owl.carousel.min.js	(from https://boorniimichelefry.com/)
10:16:57	12597/12597	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/js/jquery.stellar.min.js	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/js/jquery.stellar.min.js	(from https://boorniimichelefry.com/)
10:16:57	41730/41730	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/js/jquery.magnific-popup.js	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/js/jquery.magnific-popup.js	(from https://boorniimichelefry.com/)
10:16:58	1232/1232	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/js/YouTubePopUp.js	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/js/YouTubePopUp.js	(from https://boorniimichelefry.com/)
10:16:58	24242/24242	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/js/before-after.js	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/js/before-after.js	(from https://boorniimichelefry.com/)
10:16:58	13395/13395	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/js/custom.js	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/js/custom.js	(from https://boorniimichelefry.com/)
10:16:59	1032/1032	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/js/index.js	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/js/index.js	(from https://boorniimichelefry.com/)
10:16:59	22003/22003	---M-Z	200	added ('OK')	application/javascript	etag:W/%2266c97ae8-55f3%22	https://code.iconify.design/iconify-icon/1.0.7/iconify-icon.min.js	C:/Users/user/Desktop/frontend/omann1/code.iconify.design/iconify-icon/1.0.7/iconify-icon.min.js	(from https://boorniimichelefry.com/)
10:17:00	194674/194674	---M-Z	200	added ('OK')	text/css	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/css/plugins/bootstrap.min.css	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/css/plugins/bootstrap.min.css	(from https://boorniimichelefry.com/css/plugins.css)
10:17:00	3352/3352	---M-Z	200	added ('OK')	text/css	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/css/plugins/owl.carousel.min.css	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/css/plugins/owl.carousel.min.css	(from https://boorniimichelefry.com/css/plugins.css)
10:17:01	1013/1013	---M-Z	200	added ('OK')	text/css	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/css/plugins/owl.theme.default.min.css	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/css/plugins/owl.theme.default.min.css	(from https://boorniimichelefry.com/css/plugins.css)
10:17:01	71552/71552	---M-Z	200	added ('OK')	text/css	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/css/plugins/animate.min.css	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/css/plugins/animate.min.css	(from https://boorniimichelefry.com/css/plugins.css)
10:17:01	16421/16421	---M-Z	200	added ('OK')	text/css	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/css/plugins/themify-icons.css	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/css/plugins/themify-icons.css	(from https://boorniimichelefry.com/css/plugins.css)
10:17:02	6975/6975	---M-Z	200	added ('OK')	text/css	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/css/plugins/magnific-popup.css	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/css/plugins/magnific-popup.css	(from https://boorniimichelefry.com/css/plugins.css)
10:17:02	3008/3008	---M-Z	200	added ('OK')	text/css	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/css/plugins/YouTubePopUp.css	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/css/plugins/YouTubePopUp.css	(from https://boorniimichelefry.com/css/plugins.css)
10:17:02	4567/4567	---M-Z	200	added ('OK')	text/css	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/css/plugins/before-after.css	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/css/plugins/before-after.css	(from https://boorniimichelefry.com/css/plugins.css)
10:17:03	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Sep%202024%2009:17:02%20GMT	https://boorniimichelefry.com/img/slider/2.jpg	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/img/slider/2.jpg	(from https://boorniimichelefry.com/css/style.css)
